Experience,Grade,EnglishLevel,Age,EntryTestScore,Accepted
1,11.0,Intermediate,29,658,0
4,7.6,Advanced,18,639,0
1,11.8,Intermediate,19,688,1
0,8.7,Beginner,23,876,0
3,11.1,Advanced,20,988,1
3,7.2,Intermediate,21,302,0
3,8.5,Intermediate,18,728,0
4,10.2,Beginner,25,441,0
0,6.8,Intermediate,24,675,0
4,6.8,Intermediate,24,969,0
4,11.8,Intermediate,20,623,1
0,10.3,Upper-Intermediate,27,445,0
0,6.2,Elementary,27,592,0
0,8.4,Intermediate,20,964,0
0,8.6,Intermediate,19,731,0
3,10.5,Elementary,29,884,0
2,7.5,Intermediate,18,698,0
2,7.1,Intermediate,24,643,0
0,6.5,Intermediate,24,439,0
2,8.6,Beginner,29,486,0
2,10.1,Intermediate,19,360,0
0,6.3,Beginner,24,679,0
2,11.5,Advanced,25,739,1
4,8.7,Beginner,18,618,0
1,7.4,Intermediate,26,601,0
1,6.6,Upper-Intermediate,24,643,0
0,7.1,Intermediate,20,310,0
3,11.6,Advanced,25,361,1
0,9.8,Beginner,24,525,0
3,9.1,Upper-Intermediate,28,452,0
1,9.9,Intermediate,25,863,0
0,8.6,Upper-Intermediate,23,870,0
5,10.4,Beginner,26,883,1
4,6.3,Beginner,22,959,0
2,9.4,Beginner,20,874,0
3,7.0,Intermediate,20,609,0
5,6.7,Upper-Intermediate,18,542,0
2,8.1,Advanced,29,792,0
2,6.6,Beginner,25,665,0
0,6.6,Upper-Intermediate,19,629,0
2,7.9,Intermediate,20,406,0
4,11.9,Intermediate,25,525,1
5,7.1,Beginner,25,517,0
2,6.1,Advanced,28,805,0
0,10.6,Beginner,21,558,0
4,10.8,Intermediate,21,816,1
1,8.1,Advanced,22,353,0
5,8.8,Beginner,23,346,0
2,9.9,Intermediate,22,988,1
0,6.3,Beginner,24,820,0
1,11.7,Intermediate,19,398,0
1,11.3,Intermediate,24,319,0
3,7.6,Intermediate,27,872,0
4,6.1,Intermediate,24,789,0
2,11.6,Intermediate,18,718,1
0,9.0,Intermediate,24,989,0
3,9.2,Advanced,22,361,0
4,10.1,Intermediate,20,444,0
3,9.7,Intermediate,20,515,0
5,11.7,Intermediate,21,302,1
4,11.7,Intermediate,29,459,1
4,11.2,Intermediate,19,419,1
2,9.8,Advanced,19,388,0
4,10.8,Intermediate,18,628,1
3,10.1,Beginner,22,879,0
4,9.4,Intermediate,21,656,0
2,6.8,Intermediate,28,909,0
2,10.9,Upper-Intermediate,27,566,0
5,10.9,Beginner,19,916,1
3,9.8,Beginner,20,622,0
1,10.9,Intermediate,24,934,1
1,9.9,Intermediate,24,840,0
4,7.2,Upper-Intermediate,29,948,0
5,7.6,Beginner,21,494,0
0,7.3,Advanced,22,631,0
4,8.3,Beginner,22,469,0
5,6.2,Advanced,23,820,0
3,9.7,Beginner,26,762,0
3,8.0,Beginner,19,339,0
3,9.9,Intermediate,22,836,1
3,8.3,Advanced,29,560,0
3,10.1,Advanced,20,694,1
5,8.0,Intermediate,21,525,0
5,7.6,Advanced,27,423,0
2,9.0,Beginner,23,337,0
1,10.2,Advanced,29,627,0
3,8.1,Intermediate,25,550,0
0,11.6,Upper-Intermediate,18,475,1
5,6.2,Advanced,27,901,0
0,8.5,Advanced,25,753,0
0,11.8,Intermediate,28,336,0
0,9.3,Intermediate,24,615,0
2,8.5,Advanced,18,987,1
5,9.4,Beginner,19,892,1
0,9.5,Advanced,20,413,0
3,10.4,Advanced,18,339,1
4,6.8,Beginner,26,600,0
0,7.5,Advanced,25,523,0
2,9.5,Intermediate,19,617,0
5,11.2,Advanced,26,648,1
2,9.4,Advanced,24,414,0
0,7.4,Beginner,26,997,0
5,10.1,Intermediate,23,622,1
4,10.4,Upper-Intermediate,23,867,1
0,7.4,Intermediate,28,339,0
2,8.3,Intermediate,21,339,0
1,9.2,Intermediate,27,588,0
3,9.0,Intermediate,27,561,0
2,8.3,Intermediate,19,515,0
5,7.8,Intermediate,24,446,0
0,6.6,Beginner,22,635,0
3,6.3,Intermediate,28,467,0
0,11.8,Beginner,23,391,0
5,11.1,Beginner,19,652,1
0,8.1,Beginner,22,870,0
1,11.7,Beginner,27,870,0
3,10.1,Intermediate,21,980,1
3,8.9,Intermediate,26,662,0
5,9.0,Advanced,23,856,1
1,6.5,Beginner,19,644,0
2,6.6,Advanced,18,992,0
0,9.6,Advanced,22,469,0
4,9.3,Intermediate,26,655,0
0,7.3,Advanced,23,490,0
0,11.7,Upper-Intermediate,27,966,1
2,10.7,Beginner,29,721,0
0,6.7,Intermediate,24,999,0
1,11.6,Advanced,22,306,0
1,11.8,Advanced,27,432,0
3,12.0,Beginner,23,856,1
5,6.3,Advanced,22,330,0
4,10.4,Advanced,28,834,1
0,9.3,Advanced,26,725,0
0,10.2,Advanced,23,693,0
2,11.8,Advanced,28,971,1
5,10.1,Beginner,25,662,0
1,11.0,Beginner,19,736,0
4,11.2,Intermediate,29,969,1
3,11.0,Advanced,26,850,1
1,8.6,Intermediate,22,381,0
5,7.3,Intermediate,24,655,0
3,8.4,Intermediate,27,557,0
2,11.4,Intermediate,18,888,1
2,6.9,Advanced,27,823,0
0,9.1,Advanced,22,594,0
5,7.4,Intermediate,29,523,0
4,9.5,Intermediate,27,824,0
3,11.2,Intermediate,19,345,0
1,11.3,Intermediate,29,966,1
5,7.4,Intermediate,23,412,0
5,11.4,Intermediate,28,532,1
2,9.6,Intermediate,18,316,0
0,8.1,Beginner,20,659,0
0,10.2,Beginner,22,522,0
3,8.9,Intermediate,21,999,1
2,8.3,Intermediate,20,747,0
5,10.2,Intermediate,27,664,1
4,7.5,Upper-Intermediate,22,974,1
2,8.0,Intermediate,28,625,0
3,8.6,Beginner,25,766,0
3,7.5,Advanced,28,713,0
2,8.4,Intermediate,21,754,0
3,9.4,Advanced,18,885,1
2,10.4,Intermediate,28,532,0
1,10.6,Advanced,24,523,0
2,10.9,Upper-Intermediate,25,711,1
2,10.5,Advanced,20,871,1
3,10.1,Advanced,23,634,1
3,7.4,Beginner,19,521,0
0,8.4,Beginner,24,336,0
0,8.9,Advanced,25,577,0
1,6.5,Intermediate,23,495,0
0,9.2,Advanced,23,783,0
2,8.6,Beginner,22,541,0
3,10.8,Intermediate,25,623,0
0,11.9,Intermediate,18,491,0
0,9.3,Intermediate,27,316,0
1,7.9,Intermediate,21,823,0
5,6.3,Intermediate,21,700,0
1,11.5,Intermediate,20,321,0
2,11.5,Intermediate,20,773,1
3,7.5,Intermediate,21,419,0
1,10.2,Advanced,28,509,0
0,6.5,Beginner,18,605,0
3,7.0,Intermediate,28,569,0
3,7.3,Intermediate,28,986,0
0,7.8,Advanced,19,584,0
1,12.0,Intermediate,26,975,1
0,10.2,Advanced,27,526,0
5,8.3,Advanced,19,680,1
3,10.4,Intermediate,22,759,1
4,11.5,Beginner,26,306,0
4,11.8,Intermediate,26,328,0
2,6.3,Beginner,25,332,0
0,8.4,Intermediate,18,945,0
0,6.6,Advanced,18,378,0
2,8.0,Beginner,26,758,0
2,7.0,Beginner,28,869,0
2,9.9,Beginner,25,837,0
3,8.3,Upper-Intermediate,27,781,0
5,7.4,Intermediate,26,729,0
0,7.6,Beginner,24,584,0
3,8.2,Advanced,20,815,1
2,7.6,Advanced,20,398,0
0,8.7,Beginner,19,696,0
3,6.2,Intermediate,22,788,0
5,7.7,Advanced,29,338,0
3,8.5,Intermediate,29,570,0
5,9.6,Beginner,20,456,0
2,7.6,Beginner,23,374,0
