temperature,humidity,hour,is_weekend,consumption
26.4,50,12,0,802.11
22.5,30,1,1,582.03
22.9,29,8,0,709.58
5.9,86,23,1,710.09
29.0,33,7,0,606.32
1.0,99,6,1,671.64
20.9,93,3,0,990.42
36.9,29,17,1,778.01
5.1,95,2,0,788.3
9.3,20,5,1,436.53
16.0,24,11,1,475.19
10.0,39,11,0,528.7
-0.5,27,20,0,545.05
15.7,62,7,1,588.3
4.4,95,21,0,908.96
19.7,20,21,1,595.46
5.8,76,0,0,463.95
30.5,83,3,0,660.27
7.2,47,20,1,763.43
11.8,56,10,0,812.02
23.1,66,2,1,796.17
2.7,95,12,0,737.68
17.3,56,16,0,584.57
28.1,68,21,0,694.24
-1.1,63,21,0,670.24
16.8,75,9,0,938.22
17.6,47,20,0,528.24
22.8,98,11,0,411.74
2.6,25,14,0,406.01
1.8,80,20,1,639.92
20.2,39,9,0,862.62
18.0,97,13,0,931.7
17.5,21,12,0,827.92
18.5,92,4,0,932.48
8.2,56,5,1,505.67
17.3,39,23,0,768.76
17.9,45,1,0,313.84
7.9,48,21,0,883.65
33.7,20,16,0,1012.23
19.7,54,3,1,767.21
3.1,89,13,0,631.39
21.6,78,9,1,811.15
5.3,88,2,0,658.61
22.9,52,2,0,868.29
26.6,70,14,1,921.61
6.8,97,5,0,586.03
24.6,31,16,0,884.19
19.1,39,11,0,627.4
23.2,72,21,0,683.38
34.0,62,19,0,925.34
12.5,69,23,0,592.29
7.5,48,10,0,773.04
6.1,76,3,0,665.9
6.8,58,5,0,712.41
14.2,75,0,0,533.16
18.4,62,19,0,600.0
17.8,69,22,0,937.62
23.3,42,15,1,690.69
15.1,63,14,0,577.92
29.5,57,16,1,580.19
12.4,42,7,0,775.16
40.0,64,11,0,802.8
21.3,71,21,0,820.77
6.4,99,20,0,754.91
4.3,69,9,0,738.41
19.8,27,14,0,879.17
12.8,20,8,0,474.52
22.1,27,1,1,337.27
19.7,48,4,0,521.51
14.3,24,5,0,654.22
6.5,66,6,1,597.57
-0.1,53,20,0,591.42
10.5,84,0,0,805.1
23.6,74,22,0,1036.39
17.1,62,6,1,459.69
2.5,93,19,1,555.78
16.7,49,11,0,381.31
18.9,36,15,0,557.82
6.2,45,15,1,591.9
16.5,27,10,0,644.36
15.6,66,20,0,895.1
3.6,95,3,0,472.45
18.6,91,12,0,621.08
20.6,65,6,0,574.44
25.8,87,3,0,787.99
25.5,52,14,0,639.49
1.2,20,18,0,709.84
5.6,38,8,1,638.65
20.2,50,10,0,878.99
20.1,99,7,0,639.26
20.2,33,0,0,813.49
40.0,72,22,0,940.22
20.7,67,23,0,801.92
26.4,88,7,0,694.01
24.5,81,12,1,810.11
21.5,85,21,1,748.35
11.8,83,3,0,717.91
22.6,89,7,0,954.82
7.3,82,2,0,806.16
12.6,92,8,1,715.58
10.1,52,1,1,495.46
15.8,60,1,0,783.84
38.1,67,12,0,783.83
-3.7,32,14,1,617.51
21.9,92,22,0,870.68
-1.1,96,11,0,653.54
10.3,50,3,0,361.55
25.9,94,7,0,548.45
15.6,87,8,1,707.89
4.2,23,22,1,483.42
7.8,38,4,0,771.76
21.8,89,23,0,835.11
7.7,32,19,0,517.25
17.2,42,17,0,712.99
15.5,94,10,0,734.71
8.5,20,14,0,571.17
36.4,73,21,0,553.06
21.3,90,8,0,679.95
-5.3,34,16,0,340.07
16.9,84,11,0,668.7
8.4,95,6,0,658.48
23.5,90,9,0,831.5
7.1,34,9,1,589.44
13.9,40,12,0,370.58
20.0,38,18,0,700.86
23.7,79,10,1,865.15
3.0,52,12,1,535.25
11.7,68,20,0,825.15
10.3,54,7,1,644.99
8.5,63,7,0,471.44
32.7,30,3,0,492.13
19.0,91,14,0,974.5
2.4,97,10,0,855.62
24.2,93,10,0,802.67
36.2,85,0,0,659.18
25.3,65,16,0,885.28
-0.2,28,14,0,387.95
10.2,22,19,0,643.55
27.7,45,5,0,763.72
7.9,91,23,0,740.43
19.4,67,21,1,861.7
22.7,85,14,1,733.7
5.7,89,8,1,611.79
14.4,47,13,0,408.2
-10.0,45,17,1,455.64
4.8,44,16,0,479.46
12.5,31,17,0,685.58
2.5,24,4,0,555.15
31.3,67,19,0,343.18
0.7,56,19,0,450.15
10.6,98,8,0,434.83
16.3,63,10,1,713.86
29.4,34,23,0,762.24
0.6,62,21,0,665.39
26.6,67,0,1,825.81
15.1,89,17,0,931.86
5.2,65,5,0,413.79
19.6,62,1,0,741.67
17.0,40,14,0,326.14
9.0,42,20,0,668.37
15.7,99,13,0,810.49
11.1,66,4,0,650.86
16.1,34,5,0,610.26
21.6,44,5,0,840.68
30.9,55,21,0,851.91
2.6,94,17,0,508.17
36.3,70,13,1,892.82
-4.5,34,9,0,546.25
13.5,87,13,0,572.58
20.9,40,12,0,501.57
17.8,32,2,0,334.19
8.8,38,5,0,742.16
12.9,53,7,0,770.82
10.1,97,11,1,527.46
9.1,87,12,1,768.33
23.5,71,10,0,963.77
18.6,46,11,1,592.64
8.1,48,0,0,766.27
24.0,47,16,0,773.57
18.1,54,15,0,521.56
23.1,27,10,0,526.04
21.3,35,12,1,635.93
6.7,55,17,0,649.3
9.4,49,10,0,666.8
22.5,37,11,1,748.26
21.1,21,5,0,899.43
14.8,68,8,0,729.2
16.2,96,15,0,775.94
27.8,23,3,1,619.72
9.1,94,2,1,603.84
20.5,26,15,0,528.32
13.0,93,23,0,640.98
12.8,58,11,0,555.73
26.0,32,10,1,502.83
23.3,50,4,0,525.15
23.1,90,17,0,676.66
28.1,82,18,1,609.39
15.2,75,22,0,940.24
21.8,61,22,0,933.63
11.9,80,5,0,519.05
18.2,61,21,1,475.29
13.7,75,17,0,607.58
16.0,55,5,0,364.34
21.0,87,3,0,515.31
6.8,26,11,0,618.25
35.9,73,18,0,1070.92
4.9,20,1,0,655.78
2.9,63,16,1,594.96
26.6,64,10,0,644.01
22.9,66,10,0,635.1
21.2,32,20,0,923.01
21.3,41,15,0,683.3
14.9,40,1,1,693.59
6.0,28,1,0,634.74
15.8,45,22,0,571.72
8.2,28,7,0,536.32
24.8,34,12,0,780.16
13.5,29,9,0,664.6
6.7,61,7,0,682.75
11.8,91,3,1,831.31
19.1,43,14,1,758.02
9.4,99,0,0,813.64
6.8,68,10,1,721.75
17.4,45,6,0,655.48
17.4,56,16,0,894.53
9.9,87,19,0,540.07
10.3,69,23,0,582.41
17.3,43,17,0,755.86
0.5,38,21,0,483.6
0.9,79,21,0,491.4
7.8,58,11,0,703.51
12.9,93,8,0,840.77
18.1,37,4,1,710.77
29.8,38,9,0,874.09
23.6,55,3,0,494.76
13.4,93,4,0,624.0
14.8,74,9,0,876.06
5.0,88,10,1,612.99
14.8,66,20,0,929.6
12.1,68,23,0,874.4
18.2,52,9,1,596.81
6.7,40,7,0,569.96
20.2,41,1,0,775.59
30.3,67,22,0,1031.87
13.9,56,7,1,586.07
19.0,34,15,0,540.74
21.9,54,21,0,642.36
11.0,90,4,0,703.14
17.2,51,2,0,703.81
15.1,30,11,0,665.76
16.0,29,12,0,568.45
7.3,92,12,0,713.06
15.2,97,9,1,730.39
20.0,96,3,1,668.87
29.5,76,8,0,469.16
24.6,44,21,1,523.73
36.5,21,23,0,704.07
7.3,83,22,0,887.29
23.7,54,1,0,552.09
16.8,26,18,1,658.01
36.9,37,0,1,744.07
6.9,86,6,0,571.31
6.6,61,16,1,626.83
9.0,58,2,0,535.13
-6.2,60,19,1,656.59
9.7,94,19,1,627.6
7.4,43,20,0,756.5
16.5,79,2,1,741.87
18.4,65,2,0,699.79
33.8,38,16,0,631.58
24.5,87,6,0,770.3
9.2,61,13,0,499.51
6.0,51,16,1,508.87
19.9,58,17,0,651.49
1.8,55,12,0,735.59
33.3,55,19,1,453.28
26.8,22,19,1,528.77
10.3,92,20,0,764.09
-2.1,27,17,1,564.5
28.5,89,3,0,1019.38
13.9,60,0,1,729.07
27.4,87,17,0,849.4
-0.9,32,0,0,645.15
9.0,68,12,0,712.27
15.1,79,19,0,740.57
15.5,21,19,0,852.0
10.5,79,22,0,781.33
21.2,24,9,0,665.75
4.3,63,10,1,562.63
13.6,46,8,0,499.56
16.2,51,8,0,509.1
20.1,40,4,0,503.19
22.1,27,0,0,620.73
3.8,91,16,1,656.47
-0.3,69,21,1,623.63
27.8,86,1,0,784.99
18.3,63,23,0,910.54
7.5,77,12,1,563.11
30.5,22,8,0,653.49
16.2,89,3,1,773.55
26.8,21,4,0,694.34
15.7,63,10,1,425.89
35.6,21,23,0,361.11
32.6,54,18,0,385.78
12.5,49,20,1,579.38
24.7,27,2,0,819.32
21.5,41,11,0,923.49
28.7,63,18,0,847.08
5.4,77,18,0,833.75
21.9,55,12,0,908.87
25.6,88,6,0,596.64
-2.6,96,14,0,623.84
3.2,50,22,0,626.71
-5.4,66,6,1,648.73
12.3,74,7,0,662.76
22.2,99,4,0,542.62
30.0,81,20,0,622.9
15.7,49,13,0,723.91
31.3,74,3,0,688.51
1.2,35,22,0,732.43
-2.0,31,9,0,352.53
14.4,36,19,0,791.56
18.8,35,14,0,886.86
14.7,31,17,0,718.0
-5.7,27,19,0,553.42
14.1,22,12,0,700.92
2.0,35,7,0,559.16
21.7,49,8,0,625.81
18.7,42,15,1,626.59
5.6,24,18,0,549.79
9.9,84,15,0,741.02
4.4,49,6,0,484.58
14.4,40,13,0,832.31
24.6,89,13,0,710.96
5.1,41,3,0,523.03
20.0,91,14,1,740.85
9.7,51,2,0,403.12
7.1,52,4,1,668.31
13.9,35,0,0,464.22
4.6,95,2,0,746.98
9.5,57,14,0,482.89
3.0,33,23,0,440.15
34.6,55,7,0,608.31
15.4,42,3,0,490.96
8.0,85,1,0,397.41
17.1,21,23,1,719.84
13.9,92,23,1,741.68
12.8,84,9,0,731.85
21.1,94,3,0,548.5
22.6,86,2,0,550.33
9.7,71,1,0,669.15
9.2,81,16,0,722.47
12.2,42,22,0,604.37
-8.0,45,20,0,412.97
-0.2,87,23,0,574.45
28.7,74,19,1,861.83
31.4,25,22,0,515.6
12.5,54,12,1,579.28
20.8,41,4,0,840.15
18.1,62,20,0,593.65
40.0,34,8,0,714.89
26.2,79,21,0,545.85
13.7,31,5,0,788.2
5.4,68,4,0,588.05
-1.1,61,9,0,564.69
17.0,57,7,0,562.66
7.4,64,6,0,631.56
0.8,54,6,0,743.02
8.5,49,5,0,582.41
4.2,49,20,0,634.68
31.9,97,19,0,953.36
23.8,25,2,0,546.74
14.9,86,18,1,703.97
29.8,99,21,0,804.14
15.8,26,14,1,569.21
6.4,71,3,0,451.2
30.2,33,11,0,350.38
20.4,92,5,0,616.72
4.6,34,18,0,793.47
13.1,40,3,0,637.89
6.2,54,14,1,527.9
1.2,85,8,0,479.25
24.3,21,4,0,571.82
34.1,54,12,0,689.21
1.0,97,22,1,649.59
20.6,39,17,0,927.96
8.5,29,4,0,587.13
10.1,44,15,0,501.86
9.1,85,18,1,564.2
6.4,44,13,1,634.54
15.5,73,15,0,933.41
6.7,52,14,1,677.23
17.7,55,21,1,661.67
14.5,33,3,0,306.35
12.6,84,6,0,834.55
5.9,99,15,0,703.55
9.2,73,23,1,757.55
22.6,71,21,0,657.61
20.0,22,20,1,581.81
5.2,60,21,0,871.05
16.0,25,20,1,762.37
22.5,44,7,0,554.96
-1.7,32,16,0,721.7
20.4,27,15,1,712.02
8.4,40,22,1,609.51
20.7,87,9,1,516.33
7.4,44,9,0,738.79
-3.0,98,1,0,728.31
-1.3,87,8,0,600.06
15.5,64,16,0,890.9
17.6,79,10,0,683.57
6.0,31,9,0,570.45
21.4,51,21,0,451.45
-1.6,32,16,1,587.16
14.3,50,3,0,478.66
2.9,97,15,0,556.32
8.5,39,19,0,629.66
15.5,37,14,0,524.26
6.4,79,20,0,840.04
11.2,82,4,1,591.86
25.1,25,5,1,738.34
9.2,51,16,1,490.04
23.4,62,0,1,492.42
3.7,21,18,0,762.12
20.3,79,3,0,568.82
29.4,42,16,0,959.88
-9.7,50,8,0,509.27
7.0,24,23,0,579.88
20.8,53,1,0,835.91
13.0,29,7,0,300.11
18.7,21,14,0,546.43
9.0,30,6,0,543.64
15.9,69,5,0,685.32
13.4,50,0,0,683.57
26.7,75,14,0,700.0
17.5,98,22,0,439.29
18.4,92,6,1,675.21
10.9,28,16,0,783.62
10.1,40,1,0,305.59
10.7,92,8,1,625.65
18.9,47,8,0,688.95
10.8,81,12,0,433.33
17.9,26,5,0,505.92
35.8,99,5,0,1036.12
23.7,35,19,1,603.97
11.7,23,19,1,636.3
27.0,23,20,0,614.35
10.9,59,2,0,663.49
-5.4,36,16,0,707.64
4.9,71,16,0,608.44
-3.7,71,11,0,780.31
11.5,55,15,0,726.46
15.2,57,14,0,607.82
31.8,69,12,0,403.51
18.3,82,22,0,775.68
12.8,82,0,0,544.3
23.3,81,16,0,645.82
-7.1,26,2,1,339.91
17.4,46,14,0,575.69
22.7,33,3,0,668.96
0.2,90,3,1,634.21
26.4,24,17,0,929.17
18.4,74,16,0,978.22
10.8,21,18,0,677.2
21.3,81,10,0,653.12
37.7,40,19,0,1066.98
16.8,98,2,0,590.53
17.5,40,7,0,541.5
10.4,29,13,1,725.66
6.5,77,0,0,426.45
23.3,58,13,0,931.38
6.4,24,1,1,608.77
15.7,84,22,0,941.97
10.2,32,3,1,487.76
19.8,72,23,0,824.01
18.3,64,18,1,466.86
25.4,51,5,0,883.68
9.9,55,0,1,502.08
12.3,79,16,1,756.82
5.2,30,7,0,362.25
10.6,82,18,0,715.98
18.8,40,20,0,729.2
22.6,71,0,0,587.42
5.8,74,4,0,822.07
23.7,45,15,0,730.0
28.6,87,5,0,413.57
19.1,53,7,0,724.46
33.8,71,12,0,998.41
7.3,71,15,0,495.91
2.6,48,2,0,416.98
-2.8,57,18,0,447.87
30.0,61,11,0,619.72
21.5,40,15,0,748.87
14.4,61,10,0,545.36
17.8,32,9,0,645.48
3.7,83,19,0,611.79
39.5,36,3,1,928.06
16.3,28,11,0,457.73
16.1,60,22,0,766.23
22.3,20,1,0,506.78
19.8,21,23,1,656.81
17.2,79,21,1,851.27
7.1,67,18,0,538.1
19.7,48,4,0,523.32
33.8,29,7,1,790.42
28.5,77,6,0,982.17
30.9,79,13,0,722.23
9.9,40,23,0,593.61
5.1,47,22,0,720.46
13.7,94,2,1,760.88
15.6,53,17,1,705.1
25.9,27,15,1,490.41
-1.9,78,22,0,680.56
30.3,91,18,1,890.27
13.4,68,18,0,696.89
10.7,98,17,0,616.85
4.9,36,19,1,569.6
-1.5,79,15,0,728.66
23.2,64,7,0,668.78
15.7,88,0,0,413.06
2.1,51,16,1,548.32
2.0,63,11,0,648.51
11.6,84,20,0,811.98
31.7,27,10,0,613.78
12.4,96,4,1,815.73
-0.0,91,11,1,708.14
12.5,62,16,0,589.71
12.3,20,5,0,484.4
-10.0,70,0,0,442.27
14.5,43,4,1,740.33
12.7,43,13,0,512.64
22.0,36,4,1,610.15
33.5,24,21,0,506.81
26.3,39,23,1,813.51
12.3,40,0,1,654.11
3.9,77,17,0,473.71
40.0,50,15,1,763.33
15.6,30,8,0,593.8
15.1,71,18,0,931.37
14.8,34,21,0,680.2
17.0,26,4,1,644.97
13.6,47,1,0,629.86
9.3,70,14,0,658.81
9.5,77,6,0,541.04
14.7,24,3,0,761.78
9.6,24,0,0,555.67
7.9,27,12,0,679.69
16.1,83,19,1,870.92
12.5,29,21,0,673.73
30.0,57,6,0,825.69
-10.0,27,14,0,360.0
25.9,44,22,0,509.42
27.5,92,13,1,938.35
-5.7,85,22,1,737.75
11.6,98,18,0,516.78
11.3,69,21,1,691.4
0.9,86,23,1,797.07
7.2,68,19,1,475.36
3.9,55,23,0,798.37
32.5,87,17,1,831.53
24.4,97,9,0,656.11
27.7,60,8,0,768.3
22.2,81,7,0,933.77
3.7,29,9,0,561.43
9.8,40,16,0,704.58
19.9,55,1,0,522.46
2.8,31,5,0,649.07
22.1,21,4,1,462.89
12.6,32,8,1,525.6
11.3,72,4,0,788.92
22.1,51,17,1,832.76
19.4,35,19,1,628.74
11.4,51,8,1,522.24
26.6,51,16,0,722.26
4.2,30,16,0,734.98
21.2,29,11,1,687.21
20.9,34,6,0,543.04
11.9,36,2,0,610.33
18.3,59,9,0,502.29
2.5,37,1,0,495.55
24.2,74,2,0,660.44
13.2,92,15,0,466.44
9.8,44,1,0,372.17
25.5,78,23,1,867.1
8.0,97,9,1,722.34
0.9,41,5,0,538.35
-0.6,49,21,1,731.98
21.1,63,10,0,889.48
2.2,51,22,0,759.01
32.5,70,6,1,925.42
-5.8,65,14,1,508.02
32.0,40,5,1,814.64
17.1,51,19,0,883.39
14.0,58,8,1,662.68
9.6,31,21,0,565.59
19.0,66,19,1,687.3
14.6,37,11,1,706.66
26.0,40,18,0,676.75
16.1,32,19,0,583.04
16.5,40,2,1,550.55
11.4,27,14,0,665.49
14.4,65,1,0,673.56
18.1,26,20,1,494.7
-2.1,42,1,0,305.89
1.5,94,21,1,722.08
22.4,41,2,0,753.65
16.7,41,5,0,793.1
13.2,48,14,1,663.51
15.2,32,9,0,477.33
18.5,21,8,0,845.95
9.6,48,0,1,561.2
7.2,98,15,0,715.27
17.0,71,5,0,534.53
5.2,46,8,0,473.7
19.1,69,3,1,580.39
-2.0,98,1,1,507.46
25.3,42,3,1,762.26
19.7,63,0,0,920.32
17.6,96,18,1,799.61
24.8,41,9,0,896.16
31.7,62,20,0,459.24
25.1,56,14,0,372.2
-3.4,80,21,1,586.82
2.2,75,18,1,709.76
8.8,22,15,0,483.55
15.3,82,20,0,908.22
20.2,38,23,1,629.92
7.7,42,21,0,444.04
16.9,48,3,1,758.4
7.4,49,1,0,397.22
8.9,58,12,0,646.99
0.9,44,0,0,700.22
5.8,27,16,0,768.9
1.5,77,12,1,668.64
5.2,35,3,0,538.17
25.5,91,6,1,942.95
5.5,20,16,0,339.59
40.0,24,8,0,286.22
19.9,22,3,0,261.26
16.8,84,18,0,971.84
6.4,23,0,1,445.49
22.0,83,9,0,941.85
9.2,29,3,0,512.17
16.2,40,8,0,653.8
40.0,65,12,0,967.96
14.0,46,13,0,531.28
26.5,85,9,1,818.49
8.0,60,5,0,853.15
14.7,32,15,0,520.77
32.7,28,5,0,405.37
8.7,55,16,1,744.56
33.1,77,9,0,861.12
22.1,73,17,0,815.31
9.4,31,21,0,707.69
21.3,97,17,0,1050.37
24.7,33,2,0,571.8
21.2,53,19,0,592.85
-0.7,72,20,1,636.14
7.7,39,14,0,525.11
12.5,94,14,1,524.57
14.3,35,3,0,451.59
21.2,89,8,0,998.31
16.8,75,18,0,430.16
1.6,77,23,0,540.93
18.8,23,16,1,689.2
21.1,23,10,0,508.55
20.6,39,8,0,711.23
25.8,29,9,0,339.92
23.3,43,17,1,855.66
19.6,45,19,0,521.63
14.3,56,12,1,569.35
-1.6,73,7,0,453.43
19.3,40,6,0,660.69
17.1,93,16,0,946.39
17.7,57,20,0,569.36
2.2,65,22,0,675.05
4.2,23,14,0,752.04
25.5,79,19,1,870.46
14.6,76,14,1,767.78
21.8,64,0,1,837.32
15.3,39,13,0,497.68
15.3,36,4,0,618.74
24.4,90,10,0,847.13
9.8,23,15,1,468.81
16.0,33,1,1,521.27
10.4,22,7,0,721.88
10.7,99,10,0,854.53
11.9,77,17,0,830.55
17.2,74,2,0,518.46
10.2,23,0,0,528.68
27.6,43,10,0,766.48
6.1,53,15,1,655.43
13.1,49,17,0,559.3
10.6,38,15,0,636.54
29.5,50,22,1,609.48
17.0,79,9,0,744.21
25.3,79,17,0,541.02
0.1,38,5,0,406.58
17.7,68,18,0,654.16
23.9,82,3,0,757.43
15.8,41,12,1,743.95
25.7,43,23,0,699.4
9.8,95,13,0,719.21
29.1,49,2,0,631.95
38.0,77,9,0,752.73
11.4,50,5,1,592.89
10.5,83,0,1,673.2
29.5,38,22,0,702.43
30.8,67,23,1,975.89
9.8,64,13,0,809.75
10.8,74,7,1,571.5
12.2,74,18,0,631.68
1.6,37,13,1,484.09
5.8,82,9,1,690.07
5.0,66,16,0,809.19
7.3,94,8,0,637.74
14.7,76,5,1,465.73
17.3,64,10,1,613.19
30.5,52,6,0,496.96
5.0,36,16,1,533.53
24.8,89,0,0,570.91
12.9,23,21,0,885.07
14.5,39,4,0,766.8
21.7,66,8,0,604.54
3.8,34,17,1,510.45
18.8,89,23,0,1035.81
16.7,66,20,1,502.96
19.9,97,1,0,757.36
17.9,94,10,0,636.4
39.6,28,5,0,949.94
8.6,35,7,0,517.34
9.7,88,3,0,818.04
8.8,80,17,0,825.88
9.4,29,10,0,619.43
8.6,69,4,0,488.96
26.9,22,14,0,770.89
29.2,96,17,0,1051.4
9.3,89,1,1,459.37
6.7,70,21,1,715.65
19.7,38,10,0,535.87
9.5,61,12,0,422.51
21.3,54,3,0,717.26
17.0,65,21,1,660.88
-0.2,45,6,0,551.36
30.5,88,10,0,1075.97
33.0,83,21,0,833.33
8.9,56,23,0,753.25
11.1,68,3,0,778.0
17.9,40,14,1,636.74
18.3,93,0,0,724.79
21.6,83,22,0,481.05
35.1,24,2,0,904.97
13.2,89,13,0,898.62
7.0,23,5,1,536.14
1.2,58,17,0,500.13
7.7,54,0,1,567.9
14.7,20,5,0,787.43
32.9,43,5,0,909.76
9.8,76,20,1,745.84
17.2,89,15,0,902.11
14.8,60,4,1,752.24
26.9,73,16,0,719.4
40.0,65,9,1,807.5
9.7,79,20,0,748.22
10.1,79,17,0,882.2
25.4,76,6,1,675.97
21.8,50,2,1,695.27
33.5,43,12,1,838.46
20.8,55,14,1,795.72
11.4,49,19,1,577.5
20.9,43,18,0,754.39
26.1,49,2,0,501.43
23.2,26,3,0,456.11
20.1,54,4,0,525.87
25.7,74,0,0,648.96
26.7,33,3,0,448.27
28.8,29,11,0,381.65
21.5,99,23,0,837.96
13.3,35,9,0,831.16
16.5,73,22,0,463.49
27.1,96,20,0,730.63
6.8,89,19,1,658.9
18.7,63,23,1,596.06
11.1,92,12,0,662.02
15.3,64,22,0,708.24
27.8,75,13,0,699.46
16.9,76,22,0,785.19
15.5,40,4,0,543.64
1.4,87,3,0,731.7
22.5,69,13,0,926.21
21.5,52,9,0,859.46
36.6,26,16,1,374.18
11.9,89,9,1,657.94
17.2,34,6,0,651.03
17.5,51,15,0,874.94
30.8,94,0,0,833.31
14.0,39,16,0,898.99
17.8,34,20,1,688.4
21.1,67,8,0,878.77
16.9,90,5,1,588.88
10.5,40,18,0,813.02
16.9,61,12,1,736.0
25.7,45,2,0,705.29
4.7,33,6,1,606.77
16.3,76,21,0,825.88
8.0,56,8,0,622.27
27.0,77,21,0,615.37
-0.2,40,4,0,348.49
9.4,88,9,1,691.49
18.8,22,22,1,621.31
30.7,56,16,1,586.34
14.3,68,11,0,602.06
9.4,38,22,1,628.53
33.8,31,15,0,835.9
0.5,80,2,0,721.35
-7.0,60,21,0,430.44
19.4,52,8,0,554.95
10.0,69,14,0,715.52
4.8,87,4,0,708.71
22.1,90,22,0,1034.53
17.4,52,12,1,784.34
9.4,43,13,0,751.84
2.2,80,19,0,834.01
23.7,80,14,0,659.63
21.5,47,15,0,551.26
14.0,77,22,0,625.47
33.5,62,12,0,889.2
4.3,60,16,0,826.86
-0.3,58,22,0,611.25
8.1,68,7,0,718.16
14.5,36,20,1,611.52
17.4,89,1,0,771.39
12.6,89,4,0,525.99
18.5,84,5,1,800.06
2.5,93,11,0,778.46
29.4,24,17,0,895.73
14.2,21,21,1,596.53
26.2,41,21,0,1003.14
18.4,76,0,0,555.25
19.6,85,16,0,771.84
20.7,93,10,0,950.71
19.5,35,9,0,862.17
21.4,70,18,0,943.51
28.3,58,13,0,857.51
17.0,95,9,0,890.13
22.1,59,14,0,391.69
14.1,57,18,0,579.18
29.4,79,3,0,683.49
8.2,78,1,0,788.02
33.0,29,8,0,421.15
14.6,83,9,1,651.44
0.7,82,10,0,604.52
16.3,68,13,0,887.71
8.2,83,6,0,600.6
23.4,51,22,0,548.6
8.5,26,14,1,439.71
10.5,40,21,0,657.68
-3.9,39,18,1,510.77
10.5,45,21,0,527.22
-9.2,87,14,1,662.96
-0.8,34,23,0,413.2
22.6,98,7,1,850.93
22.9,33,10,0,831.75
19.3,46,8,0,491.08
5.3,59,14,0,709.69
14.5,77,0,0,522.29
15.0,47,0,1,694.47
3.4,45,18,0,621.23
30.0,82,2,0,822.34
23.8,85,9,1,751.61
12.8,44,7,0,724.23
15.3,22,14,1,765.53
17.1,91,9,1,745.71
