temperature,humidity,season,hour,district_type,is_weekend,consumption
13.4,89,Autumn,1,Residential,1,600.89
19.0,36,Autumn,15,Commercial,1,691.22
33.9,47,Winter,8,Residential,1,371.89
16.7,85,Summer,8,Residential,0,651.07
17.6,54,Spring,5,Industrial,0,855.11
14.3,24,Summer,10,Industrial,1,659.34
-4.2,84,Autumn,21,Residential,0,492.92
14.7,59,Autumn,23,Residential,0,592.26
15.6,95,Winter,21,Industrial,0,795.44
39.6,75,Winter,0,Commercial,0,507.9
13.1,55,Autumn,3,Industrial,0,834.8
18.0,64,Spring,12,Residential,0,562.24
14.7,42,Spring,22,Commercial,0,717.71
3.3,66,Summer,12,Residential,1,517.02
26.4,50,Autumn,12,Commercial,0,802.11
22.5,30,Autumn,1,Residential,1,582.03
22.9,29,Spring,8,Commercial,0,709.58
5.9,86,Spring,23,Commercial,1,710.09
29.0,33,Autumn,7,Residential,0,606.32
1.0,99,Winter,6,Commercial,1,671.64
20.9,93,Autumn,3,Industrial,0,990.42
36.9,29,Autumn,17,Residential,1,778.01
5.1,95,Spring,2,Industrial,0,788.3
9.3,20,Spring,5,Residential,1,436.53
16.0,24,Winter,11,Commercial,1,475.19
10.0,39,Winter,11,Commercial,0,528.7
-0.5,27,Summer,20,Commercial,0,545.05
15.7,62,Autumn,7,Residential,1,588.3
4.4,95,Spring,21,Industrial,0,908.96
19.7,20,Winter,21,Industrial,1,595.46
5.8,76,Summer,0,Residential,0,463.95
30.5,83,Summer,3,Residential,0,660.27
7.2,47,Spring,20,Industrial,1,763.43
11.8,56,Spring,10,Industrial,0,812.02
23.1,66,Summer,2,Industrial,1,796.17
2.7,95,Winter,12,Industrial,0,737.68
17.3,56,Summer,16,Residential,0,584.57
28.1,68,Autumn,21,Residential,0,694.24
-1.1,63,Autumn,21,Commercial,0,670.24
16.8,75,Spring,9,Industrial,0,938.22
17.6,47,Winter,20,Commercial,0,528.24
22.8,98,Winter,11,Residential,0,411.74
2.6,25,Autumn,14,Residential,0,406.01
1.8,80,Summer,20,Commercial,1,639.92
20.2,39,Spring,9,Industrial,0,862.62
18.0,97,Summer,13,Industrial,0,931.7
17.5,21,Summer,12,Industrial,0,827.92
18.5,92,Summer,4,Industrial,0,932.48
8.2,56,Winter,5,Commercial,1,505.67
17.3,39,Autumn,23,Commercial,0,768.76
17.9,45,Winter,1,Residential,0,313.84
7.9,48,Autumn,21,Industrial,0,883.65
33.7,20,Spring,16,Industrial,0,1012.23
19.7,54,Spring,3,Industrial,1,767.21
3.1,89,Summer,13,Commercial,0,631.39
21.6,78,Autumn,9,Industrial,1,811.15
5.3,88,Autumn,2,Commercial,0,658.61
22.9,52,Autumn,2,Industrial,0,868.29
26.6,70,Summer,14,Industrial,1,921.61
6.8,97,Summer,5,Residential,0,586.03
24.6,31,Spring,16,Industrial,0,884.19
19.1,39,Winter,11,Industrial,0,627.4
23.2,72,Autumn,21,Residential,0,683.38
34.0,62,Autumn,19,Commercial,0,925.34
12.5,69,Winter,23,Commercial,0,592.29
7.5,48,Autumn,10,Industrial,0,773.04
6.1,76,Summer,3,Commercial,0,665.9
6.8,58,Summer,5,Industrial,0,712.41
14.2,75,Autumn,0,Residential,0,533.16
18.4,62,Summer,19,Residential,0,600.0
17.8,69,Summer,22,Industrial,0,937.62
23.3,42,Autumn,15,Residential,1,690.69
15.1,63,Spring,14,Residential,0,577.92
29.5,57,Winter,16,Industrial,1,580.19
12.4,42,Summer,7,Industrial,0,775.16
40.0,64,Spring,11,Residential,0,802.8
21.3,71,Summer,21,Commercial,0,820.77
6.4,99,Summer,20,Commercial,0,754.91
4.3,69,Winter,9,Industrial,0,738.41
19.8,27,Summer,14,Industrial,0,879.17
12.8,20,Winter,8,Commercial,0,474.52
22.1,27,Winter,1,Residential,1,337.27
19.7,48,Winter,4,Commercial,0,521.51
14.3,24,Spring,5,Commercial,0,654.22
6.5,66,Autumn,6,Commercial,1,597.57
-0.1,53,Spring,20,Commercial,0,591.42
10.5,84,Autumn,0,Industrial,0,805.1
23.6,74,Autumn,22,Industrial,0,1036.39
17.1,62,Winter,6,Residential,1,459.69
2.5,93,Summer,19,Residential,1,555.78
16.7,49,Winter,11,Residential,0,381.31
18.9,36,Summer,15,Residential,0,557.82
6.2,45,Autumn,15,Commercial,1,591.9
16.5,27,Winter,10,Industrial,0,644.36
15.6,66,Summer,20,Industrial,0,895.1
3.6,95,Spring,3,Residential,0,472.45
18.6,91,Summer,12,Residential,0,621.08
20.6,65,Winter,6,Commercial,0,574.44
25.8,87,Spring,3,Commercial,0,787.99
25.5,52,Summer,14,Residential,0,639.49
1.2,20,Summer,18,Industrial,0,709.84
5.6,38,Summer,8,Industrial,1,638.65
20.2,50,Summer,10,Industrial,0,878.99
20.1,99,Summer,7,Residential,0,639.26
20.2,33,Spring,0,Industrial,0,813.49
40.0,72,Autumn,22,Commercial,0,940.22
20.7,67,Spring,23,Commercial,0,801.92
26.4,88,Spring,7,Residential,0,694.01
24.5,81,Spring,12,Commercial,1,810.11
21.5,85,Autumn,21,Residential,1,748.35
11.8,83,Winter,3,Industrial,0,717.91
22.6,89,Autumn,7,Industrial,0,954.82
7.3,82,Spring,2,Industrial,0,806.16
12.6,92,Summer,8,Commercial,1,715.58
10.1,52,Summer,1,Residential,1,495.46
15.8,60,Spring,1,Industrial,0,783.84
38.1,67,Summer,12,Residential,0,783.83
-3.7,32,Spring,14,Industrial,1,617.51
21.9,92,Summer,22,Commercial,0,870.68
-1.1,96,Autumn,11,Commercial,0,653.54
10.3,50,Winter,3,Residential,0,361.55
25.9,94,Winter,7,Commercial,0,548.45
15.6,87,Autumn,8,Commercial,1,707.89
4.2,23,Autumn,22,Residential,1,483.42
7.8,38,Spring,4,Industrial,0,771.76
21.8,89,Spring,23,Commercial,0,835.11
7.7,32,Spring,19,Residential,0,517.25
17.2,42,Summer,17,Commercial,0,712.99
15.5,94,Spring,10,Commercial,0,734.71
8.5,20,Autumn,14,Commercial,0,571.17
36.4,73,Winter,21,Commercial,0,553.06
21.3,90,Summer,8,Residential,0,679.95
-5.3,34,Spring,16,Residential,0,340.07
16.9,84,Summer,11,Residential,0,668.7
8.4,95,Summer,6,Commercial,0,658.48
23.5,90,Spring,9,Commercial,0,831.5
7.1,34,Summer,9,Commercial,1,589.44
13.9,40,Winter,12,Residential,0,370.58
20.0,38,Autumn,18,Commercial,0,700.86
23.7,79,Autumn,10,Industrial,1,865.15
3.0,52,Winter,12,Commercial,1,535.25
11.7,68,Summer,20,Industrial,0,825.15
10.3,54,Spring,7,Commercial,1,644.99
8.5,63,Summer,7,Residential,0,471.44
32.7,30,Winter,3,Commercial,0,492.13
19.0,91,Summer,14,Industrial,0,974.5
2.4,97,Autumn,10,Industrial,0,855.62
24.2,93,Summer,10,Commercial,0,802.67
36.2,85,Winter,0,Industrial,0,659.18
25.3,65,Autumn,16,Industrial,0,885.28
-0.2,28,Summer,14,Residential,0,387.95
10.2,22,Summer,19,Commercial,0,643.55
27.7,45,Autumn,5,Commercial,0,763.72
7.9,91,Spring,23,Commercial,0,740.43
19.4,67,Autumn,21,Industrial,1,861.7
22.7,85,Spring,14,Commercial,1,733.7
5.7,89,Winter,8,Commercial,1,611.79
14.4,47,Winter,13,Residential,0,408.2
-10.0,45,Autumn,17,Residential,1,455.64
4.8,44,Autumn,16,Residential,0,479.46
12.5,31,Winter,17,Industrial,0,685.58
2.5,24,Spring,4,Commercial,0,555.15
31.3,67,Winter,19,Residential,0,343.18
0.7,56,Autumn,19,Residential,0,450.15
10.6,98,Winter,8,Residential,0,434.83
16.3,63,Autumn,10,Commercial,1,713.86
29.4,34,Autumn,23,Commercial,0,762.24
0.6,62,Winter,21,Commercial,0,665.39
26.6,67,Spring,0,Industrial,1,825.81
15.1,89,Summer,17,Industrial,0,931.86
5.2,65,Winter,5,Residential,0,413.79
19.6,62,Summer,1,Commercial,0,741.67
17.0,40,Winter,14,Residential,0,326.14
9.0,42,Summer,20,Commercial,0,668.37
15.7,99,Spring,13,Commercial,0,810.49
11.1,66,Spring,4,Commercial,0,650.86
16.1,34,Winter,5,Industrial,0,610.26
21.6,44,Autumn,5,Industrial,0,840.68
30.9,55,Summer,21,Commercial,0,851.91
2.6,94,Autumn,17,Residential,0,508.17
36.3,70,Autumn,13,Commercial,1,892.82
-4.5,34,Autumn,9,Commercial,0,546.25
13.5,87,Spring,13,Residential,0,572.58
20.9,40,Winter,12,Commercial,0,501.57
17.8,32,Winter,2,Residential,0,334.19
8.8,38,Spring,5,Industrial,0,742.16
12.9,53,Spring,7,Industrial,0,770.82
10.1,97,Winter,11,Residential,1,527.46
9.1,87,Autumn,12,Industrial,1,768.33
23.5,71,Summer,10,Industrial,0,963.77
18.6,46,Summer,11,Residential,1,592.64
8.1,48,Summer,0,Industrial,0,766.27
24.0,47,Autumn,16,Commercial,0,773.57
18.1,54,Winter,15,Commercial,0,521.56
23.1,27,Spring,10,Residential,0,526.04
21.3,35,Winter,12,Industrial,1,635.93
6.7,55,Autumn,17,Commercial,0,649.3
9.4,49,Spring,10,Commercial,0,666.8
22.5,37,Autumn,11,Industrial,1,748.26
21.1,21,Summer,5,Industrial,0,899.43
14.8,68,Summer,8,Commercial,0,729.2
16.2,96,Autumn,15,Commercial,0,775.94
27.8,23,Spring,3,Residential,1,619.72
9.1,94,Spring,2,Residential,1,603.84
20.5,26,Winter,15,Commercial,0,528.32
13.0,93,Summer,23,Residential,0,640.98
12.8,58,Winter,11,Commercial,0,555.73
26.0,32,Winter,10,Commercial,1,502.83
23.3,50,Autumn,4,Residential,0,525.15
23.1,90,Autumn,17,Residential,0,676.66
28.1,82,Winter,18,Industrial,1,609.39
15.2,75,Summer,22,Industrial,0,940.24
21.8,61,Autumn,22,Industrial,0,933.63
11.9,80,Winter,5,Commercial,0,519.05
18.2,61,Winter,21,Residential,1,475.29
13.7,75,Winter,17,Commercial,0,607.58
16.0,55,Winter,5,Residential,0,364.34
21.0,87,Winter,3,Commercial,0,515.31
6.8,26,Winter,11,Industrial,0,618.25
35.9,73,Autumn,18,Industrial,0,1070.92
4.9,20,Summer,1,Industrial,0,655.78
2.9,63,Winter,16,Commercial,1,594.96
26.6,64,Spring,10,Residential,0,644.01
22.9,66,Autumn,10,Residential,0,635.1
21.2,32,Autumn,20,Industrial,0,923.01
21.3,41,Winter,15,Industrial,0,683.3
14.9,40,Autumn,1,Industrial,1,693.59
6.0,28,Winter,1,Industrial,0,634.74
15.8,45,Summer,22,Residential,0,571.72
8.2,28,Summer,7,Commercial,0,536.32
24.8,34,Autumn,12,Commercial,0,780.16
13.5,29,Autumn,9,Commercial,0,664.6
6.7,61,Spring,7,Commercial,0,682.75
11.8,91,Autumn,3,Industrial,1,831.31
19.1,43,Spring,14,Industrial,1,758.02
9.4,99,Summer,0,Industrial,0,813.64
6.8,68,Summer,10,Commercial,1,721.75
17.4,45,Winter,6,Industrial,0,655.48
17.4,56,Summer,16,Industrial,0,894.53
9.9,87,Spring,19,Residential,0,540.07
10.3,69,Autumn,23,Residential,0,582.41
17.3,43,Winter,17,Industrial,0,755.86
0.5,38,Spring,21,Residential,0,483.6
0.9,79,Autumn,21,Residential,0,491.4
7.8,58,Winter,11,Industrial,0,703.51
12.9,93,Summer,8,Industrial,0,840.77
18.1,37,Spring,4,Industrial,1,710.77
29.8,38,Autumn,9,Industrial,0,874.09
23.6,55,Winter,3,Commercial,0,494.76
13.4,93,Winter,4,Commercial,0,624.0
14.8,74,Summer,9,Industrial,0,876.06
5.0,88,Autumn,10,Residential,1,612.99
14.8,66,Summer,20,Industrial,0,929.6
12.1,68,Summer,23,Industrial,0,874.4
18.2,52,Autumn,9,Residential,1,596.81
6.7,40,Autumn,7,Commercial,0,569.96
20.2,41,Autumn,1,Industrial,0,775.59
30.3,67,Spring,22,Industrial,0,1031.87
13.9,56,Autumn,7,Commercial,1,586.07
19.0,34,Winter,15,Commercial,0,540.74
21.9,54,Summer,21,Residential,0,642.36
11.0,90,Spring,4,Commercial,0,703.14
17.2,51,Autumn,2,Commercial,0,703.81
15.1,30,Spring,11,Commercial,0,665.76
16.0,29,Autumn,12,Residential,0,568.45
7.3,92,Spring,12,Commercial,0,713.06
15.2,97,Summer,9,Commercial,1,730.39
20.0,96,Summer,3,Residential,1,668.87
29.5,76,Winter,8,Commercial,0,469.16
24.6,44,Winter,21,Commercial,1,523.73
36.5,21,Autumn,23,Residential,0,704.07
7.3,83,Summer,22,Industrial,0,887.29
23.7,54,Spring,1,Residential,0,552.09
16.8,26,Spring,18,Commercial,1,658.01
36.9,37,Spring,0,Commercial,1,744.07
6.9,86,Winter,6,Commercial,0,571.31
6.6,61,Spring,16,Residential,1,626.83
9.0,58,Winter,2,Commercial,0,535.13
-6.2,60,Winter,19,Commercial,1,656.59
9.7,94,Autumn,19,Residential,1,627.6
7.4,43,Spring,20,Industrial,0,756.5
16.5,79,Spring,2,Industrial,1,741.87
18.4,65,Summer,2,Commercial,0,699.79
33.8,38,Autumn,16,Residential,0,631.58
24.5,87,Summer,6,Commercial,0,770.3
9.2,61,Autumn,13,Residential,0,499.51
6.0,51,Spring,16,Residential,1,508.87
19.9,58,Winter,17,Industrial,0,651.49
1.8,55,Winter,12,Industrial,0,735.59
33.3,55,Winter,19,Residential,1,453.28
26.8,22,Winter,19,Commercial,1,528.77
10.3,92,Winter,20,Industrial,0,764.09
-2.1,27,Summer,17,Commercial,1,564.5
28.5,89,Autumn,3,Industrial,0,1019.38
13.9,60,Spring,0,Industrial,1,729.07
27.4,87,Summer,17,Commercial,0,849.4
-0.9,32,Autumn,0,Industrial,0,645.15
9.0,68,Winter,12,Industrial,0,712.27
15.1,79,Autumn,19,Commercial,0,740.57
15.5,21,Autumn,19,Industrial,0,852.0
10.5,79,Winter,22,Industrial,0,781.33
21.2,24,Winter,9,Industrial,0,665.75
4.3,63,Winter,10,Commercial,1,562.63
13.6,46,Spring,8,Residential,0,499.56
16.2,51,Winter,8,Commercial,0,509.1
20.1,40,Spring,4,Residential,0,503.19
22.1,27,Winter,0,Industrial,0,620.73
3.8,91,Spring,16,Residential,1,656.47
-0.3,69,Autumn,21,Commercial,1,623.63
27.8,86,Summer,1,Commercial,0,784.99
18.3,63,Autumn,23,Industrial,0,910.54
7.5,77,Autumn,12,Residential,1,563.11
30.5,22,Winter,8,Industrial,0,653.49
16.2,89,Spring,3,Industrial,1,773.55
26.8,21,Summer,4,Commercial,0,694.34
15.7,63,Winter,10,Residential,1,425.89
35.6,21,Winter,23,Residential,0,361.11
32.6,54,Winter,18,Residential,0,385.78
12.5,49,Autumn,20,Residential,1,579.38
24.7,27,Spring,2,Industrial,0,819.32
21.5,41,Spring,11,Industrial,0,923.49
28.7,63,Summer,18,Commercial,0,847.08
5.4,77,Spring,18,Industrial,0,833.75
21.9,55,Spring,12,Industrial,0,908.87
25.6,88,Winter,6,Commercial,0,596.64
-2.6,96,Winter,14,Commercial,0,623.84
3.2,50,Autumn,22,Commercial,0,626.71
-5.4,66,Winter,6,Industrial,1,648.73
12.3,74,Winter,7,Industrial,0,662.76
22.2,99,Winter,4,Commercial,0,542.62
30.0,81,Winter,20,Commercial,0,622.9
15.7,49,Autumn,13,Commercial,0,723.91
31.3,74,Winter,3,Industrial,0,688.51
1.2,35,Summer,22,Industrial,0,732.43
-2.0,31,Summer,9,Residential,0,352.53
14.4,36,Summer,19,Industrial,0,791.56
18.8,35,Summer,14,Industrial,0,886.86
14.7,31,Winter,17,Industrial,0,718.0
-5.7,27,Summer,19,Commercial,0,553.42
14.1,22,Winter,12,Industrial,0,700.92
2.0,35,Autumn,7,Commercial,0,559.16
21.7,49,Summer,8,Residential,0,625.81
18.7,42,Spring,15,Residential,1,626.59
5.6,24,Summer,18,Commercial,0,549.79
9.9,84,Summer,15,Commercial,0,741.02
4.4,49,Winter,6,Commercial,0,484.58
14.4,40,Summer,13,Industrial,0,832.31
24.6,89,Spring,13,Residential,0,710.96
5.1,41,Winter,3,Commercial,0,523.03
20.0,91,Winter,14,Industrial,1,740.85
9.7,51,Autumn,2,Residential,0,403.12
7.1,52,Autumn,4,Industrial,1,668.31
13.9,35,Summer,0,Residential,0,464.22
4.6,95,Autumn,2,Industrial,0,746.98
9.5,57,Autumn,14,Residential,0,482.89
3.0,33,Autumn,23,Residential,0,440.15
34.6,55,Winter,7,Industrial,0,608.31
15.4,42,Winter,3,Commercial,0,490.96
8.0,85,Winter,1,Residential,0,397.41
17.1,21,Autumn,23,Commercial,1,719.84
13.9,92,Winter,23,Industrial,1,741.68
12.8,84,Autumn,9,Commercial,0,731.85
21.1,94,Winter,3,Commercial,0,548.5
22.6,86,Winter,2,Commercial,0,550.33
9.7,71,Spring,1,Commercial,0,669.15
9.2,81,Summer,16,Commercial,0,722.47
12.2,42,Autumn,22,Residential,0,604.37
-8.0,45,Spring,20,Residential,0,412.97
-0.2,87,Winter,23,Residential,0,574.45
28.7,74,Autumn,19,Industrial,1,861.83
31.4,25,Winter,22,Commercial,0,515.6
12.5,54,Summer,12,Residential,1,579.28
20.8,41,Spring,4,Industrial,0,840.15
18.1,62,Summer,20,Residential,0,593.65
40.0,34,Spring,8,Residential,0,714.89
26.2,79,Winter,21,Commercial,0,545.85
13.7,31,Summer,5,Industrial,0,788.2
5.4,68,Summer,4,Commercial,0,588.05
-1.1,61,Winter,9,Commercial,0,564.69
17.0,57,Summer,7,Residential,0,562.66
7.4,64,Autumn,6,Commercial,0,631.56
0.8,54,Spring,6,Industrial,0,743.02
8.5,49,Spring,5,Commercial,0,582.41
4.2,49,Spring,20,Commercial,0,634.68
31.9,97,Autumn,19,Commercial,0,953.36
23.8,25,Spring,2,Residential,0,546.74
14.9,86,Winter,18,Industrial,1,703.97
29.8,99,Summer,21,Residential,0,804.14
15.8,26,Autumn,14,Residential,1,569.21
6.4,71,Spring,3,Residential,0,451.2
30.2,33,Winter,11,Residential,0,350.38
20.4,92,Summer,5,Residential,0,616.72
4.6,34,Summer,18,Industrial,0,793.47
13.1,40,Autumn,3,Commercial,0,637.89
6.2,54,Autumn,14,Residential,1,527.9
1.2,85,Autumn,8,Residential,0,479.25
24.3,21,Winter,4,Industrial,0,571.82
34.1,54,Winter,12,Industrial,0,689.21
1.0,97,Autumn,22,Commercial,1,649.59
20.6,39,Spring,17,Industrial,0,927.96
8.5,29,Summer,4,Commercial,0,587.13
10.1,44,Summer,15,Residential,0,501.86
9.1,85,Winter,18,Residential,1,564.2
6.4,44,Summer,13,Commercial,1,634.54
15.5,73,Spring,15,Industrial,0,933.41
6.7,52,Summer,14,Commercial,1,677.23
17.7,55,Winter,21,Industrial,1,661.67
14.5,33,Winter,3,Residential,0,306.35
12.6,84,Spring,6,Industrial,0,834.55
5.9,99,Spring,15,Commercial,0,703.55
9.2,73,Summer,23,Commercial,1,757.55
22.6,71,Summer,21,Residential,0,657.61
20.0,22,Winter,20,Industrial,1,581.81
5.2,60,Spring,21,Industrial,0,871.05
16.0,25,Spring,20,Industrial,1,762.37
22.5,44,Spring,7,Residential,0,554.96
-1.7,32,Summer,16,Industrial,0,721.7
20.4,27,Spring,15,Commercial,1,712.02
8.4,40,Winter,22,Industrial,1,609.51
20.7,87,Winter,9,Residential,1,516.33
7.4,44,Summer,9,Industrial,0,738.79
-3.0,98,Autumn,1,Industrial,0,728.31
-1.3,87,Summer,8,Commercial,0,600.06
15.5,64,Autumn,16,Industrial,0,890.9
17.6,79,Spring,10,Commercial,0,683.57
6.0,31,Summer,9,Commercial,0,570.45
21.4,51,Winter,21,Residential,0,451.45
-1.6,32,Spring,16,Commercial,1,587.16
14.3,50,Winter,3,Commercial,0,478.66
2.9,97,Spring,15,Residential,0,556.32
8.5,39,Summer,19,Commercial,0,629.66
15.5,37,Autumn,14,Residential,0,524.26
6.4,79,Spring,20,Industrial,0,840.04
11.2,82,Autumn,4,Residential,1,591.86
25.1,25,Spring,5,Commercial,1,738.34
9.2,51,Winter,16,Residential,1,490.04
23.4,62,Winter,0,Commercial,1,492.42
3.7,21,Spring,18,Industrial,0,762.12
20.3,79,Autumn,3,Residential,0,568.82
29.4,42,Summer,16,Industrial,0,959.88
-9.7,50,Summer,8,Commercial,0,509.27
7.0,24,Winter,23,Commercial,0,579.88
20.8,53,Summer,1,Industrial,0,835.91
13.0,29,Winter,7,Residential,0,300.11
18.7,21,Summer,14,Residential,0,546.43
9.0,30,Spring,6,Commercial,0,543.64
15.9,69,Winter,5,Industrial,0,685.32
13.4,50,Winter,0,Industrial,0,683.57
26.7,75,Spring,14,Residential,0,700.0
17.5,98,Winter,22,Residential,0,439.29
18.4,92,Summer,6,Residential,1,675.21
10.9,28,Summer,16,Industrial,0,783.62
10.1,40,Winter,1,Residential,0,305.59
10.7,92,Summer,8,Residential,1,625.65
18.9,47,Autumn,8,Commercial,0,688.95
10.8,81,Winter,12,Residential,0,433.33
17.9,26,Spring,5,Residential,0,505.92
35.8,99,Autumn,5,Industrial,0,1036.12
23.7,35,Winter,19,Industrial,1,603.97
11.7,23,Spring,19,Commercial,1,636.3
27.0,23,Summer,20,Residential,0,614.35
10.9,59,Spring,2,Commercial,0,663.49
-5.4,36,Autumn,16,Industrial,0,707.64
4.9,71,Summer,16,Commercial,0,608.44
-3.7,71,Winter,11,Industrial,0,780.31
11.5,55,Summer,15,Commercial,0,726.46
15.2,57,Winter,14,Commercial,0,607.82
31.8,69,Winter,12,Residential,0,403.51
18.3,82,Spring,22,Commercial,0,775.68
12.8,82,Spring,0,Residential,0,544.3
23.3,81,Spring,16,Residential,0,645.82
-7.1,26,Autumn,2,Residential,1,339.91
17.4,46,Autumn,14,Residential,0,575.69
22.7,33,Spring,3,Commercial,0,668.96
0.2,90,Autumn,3,Industrial,1,634.21
26.4,24,Summer,17,Industrial,0,929.17
18.4,74,Summer,16,Industrial,0,978.22
10.8,21,Autumn,18,Commercial,0,677.2
21.3,81,Autumn,10,Residential,0,653.12
37.7,40,Summer,19,Industrial,0,1066.98
16.8,98,Winter,2,Commercial,0,590.53
17.5,40,Summer,7,Residential,0,541.5
10.4,29,Summer,13,Industrial,1,725.66
6.5,77,Autumn,0,Residential,0,426.45
23.3,58,Summer,13,Industrial,0,931.38
6.4,24,Autumn,1,Industrial,1,608.77
15.7,84,Autumn,22,Industrial,0,941.97
10.2,32,Spring,3,Residential,1,487.76
19.8,72,Summer,23,Commercial,0,824.01
18.3,64,Winter,18,Residential,1,466.86
25.4,51,Spring,5,Industrial,0,883.68
9.9,55,Autumn,0,Residential,1,502.08
12.3,79,Autumn,16,Commercial,1,756.82
5.2,30,Winter,7,Residential,0,362.25
10.6,82,Autumn,18,Commercial,0,715.98
18.8,40,Summer,20,Commercial,0,729.2
22.6,71,Spring,0,Residential,0,587.42
5.8,74,Autumn,4,Industrial,0,822.07
23.7,45,Autumn,15,Commercial,0,730.0
28.6,87,Winter,5,Residential,0,413.57
19.1,53,Summer,7,Commercial,0,724.46
33.8,71,Autumn,12,Industrial,0,998.41
